Date : 2022-10-07 18:52:40
Directory : /Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src
Total : 72 files,  2203 codes, 439 comments, 418 blanks, all 3060 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JavaScript |         62 |      1,973 |        437 |        382 |      2,792 |
| TypeScript |          5 |        129 |          0 |         30 |        159 |
| XML        |          3 |         69 |          2 |          1 |         72 |
| SCSS       |          1 |         20 |          0 |          3 |         23 |
| CSS        |          1 |         12 |          0 |          2 |         14 |
+------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                           | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                              |         72 |      2,203 |        439 |        418 |      3,060 |
| assets                                                                                                                         |          2 |         68 |          2 |          1 |         71 |
| components                                                                                                                     |         28 |        926 |        325 |        202 |      1,453 |
| components/buttons                                                                                                             |          2 |         89 |         41 |         16 |        146 |
| components/cart-dropdown                                                                                                       |          2 |         73 |         26 |         11 |        110 |
| components/cart-icon                                                                                                           |          2 |         40 |         19 |         10 |         69 |
| components/cart-items                                                                                                          |          2 |         37 |         20 |         13 |         70 |
| components/category-preview                                                                                                    |          2 |         45 |         15 |         10 |         70 |
| components/checkout-item                                                                                                       |          2 |         78 |         36 |         19 |        133 |
| components/directory                                                                                                           |          2 |         51 |          6 |          7 |         64 |
| components/directory-item                                                                                                      |          2 |         78 |         58 |         27 |        163 |
| components/form-input                                                                                                          |          2 |         57 |         40 |         19 |        116 |
| components/payment-form                                                                                                        |          2 |         80 |          0 |         12 |         92 |
| components/product-card                                                                                                        |          2 |         75 |         44 |         23 |        142 |
| components/sign-in-form                                                                                                        |          2 |         91 |         12 |         17 |        120 |
| components/sign-up-form                                                                                                        |          2 |         97 |          8 |         12 |        117 |
| components/spinner                                                                                                             |          2 |         35 |          0 |          6 |         41 |
| routes                                                                                                                         |         12 |        283 |         75 |         63 |        421 |
| routes/authentication                                                                                                          |          2 |         19 |          6 |          5 |         30 |
| routes/categories-preview                                                                                                      |          1 |         27 |          0 |          3 |         30 |
| routes/category                                                                                                                |          2 |         50 |         12 |          8 |         70 |
| routes/checkout                                                                                                                |          2 |         72 |         27 |         16 |        115 |
| routes/home                                                                                                                    |          1 |         11 |          0 |          3 |         14 |
| routes/navigation                                                                                                              |          2 |         78 |         24 |         19 |        121 |
| routes/shop                                                                                                                    |          2 |         26 |          6 |          9 |         41 |
| store                                                                                                                          |         18 |        460 |          7 |        100 |        567 |
| store/cart                                                                                                                     |          4 |        100 |          0 |         21 |        121 |
| store/categories                                                                                                               |          5 |        127 |          0 |         27 |        154 |
